time_in,time_out,visual,asset,notes
00:00,00:15,Slide,assets/seg1/seg1_slide_01_hook_split.svg,Hook contrast trig vs complex
00:15,00:34,Slide,assets/seg1/seg1_slide_02_question.svg,Question and answer
00:34,00:45,Talking head,,Transition to context
00:45,01:05,Slide,assets/seg1/seg1_slide_03_courses.svg,Course list
01:05,01:20,Slide,assets/seg1/seg1_slide_04_industry.svg,Industry list
01:20,02:30,Slide,assets/seg1/seg1_slide_05_stats.svg,Stats and hafal vs mengerti
02:30,03:20,Slide,assets/seg1/seg1_slide_06_6steps.svg,Roadmap 6 stages
03:20,03:40,Slide,assets/seg1/seg1_slide_07_value.svg,Value of stages
03:40,04:00,Slide,assets/seg1/seg1_slide_08_time_commit.svg,Time commitment
04:00,06:00,Talking head,,Elaboration - adjust with VO
06:00,06:40,Slide,assets/seg1/seg1_slide_09_questions.svg,Key questions
06:40,08:30,Slide,assets/seg1/seg1_slide_10_promise.svg,Promise and confidence
08:30,09:00,Slide,assets/seg1/seg1_slide_11_start.svg,Start segment 2